,Date,Open,High,Low,Close,Volume,Date,cpi,unemployment,consumer_confidence,interest_rate
86,2022-04-01,435.1778541882251,439.5170461992503,394.76182450409937,395.5202331542969,1856757400,2022-04-01,289.109,3.7,65.2,0.33
87,2022-05-01,395.5874384818091,412.47384484609387,365.31862194398497,396.41302490234375,2418478100,2022-05-01,292.296,3.6,58.4,0.77
88,2022-06-01,398.56351918684203,400.7427103146763,347.68348008551254,362.1602783203125,1958611900,2022-06-01,296.311,3.6,50.0,1.21
89,2022-07-01,363.05937759683275,398.22183784218555,357.7372940281095,397.2191162109375,1437748400,2022-07-01,296.276,3.5,51.5,1.68
90,2022-08-01,394.4809839449976,416.25145319092894,380.87687545674936,381.0118408203125,1443394400,2022-08-01,296.171,3.6,58.2,2.33
91,2022-09-01,378.8039023394422,396.96843660290455,344.2392106837986,344.3741760253906,1998908600,2022-09-01,296.808,3.5,58.6,2.56
92,2022-10-01,349.5644736416623,377.09747146348445,337.00810990384707,373.8930358886719,2024732000,2022-10-01,298.012,3.6,59.9,3.08
93,2022-11-01,377.6977189296863,394.6783142089844,357.0286045049605,394.6783142089844,1745985300,2022-11-01,297.711,3.6,56.7,3.78
94,2022-12-01,395.7335458992516,397.3986930487825,362.81786979240184,370.23358154296875,1735973600,2022-12-01,296.797,3.5,59.8,4.1
95,2023-01-01,373.8204611615417,396.9575220098744,367.45995164903997,395.3236389160156,1575450100,2023-01-01,299.17,3.5,64.9,4.33
96,2023-02-01,394.08839983513315,406.82885676371626,382.835978270982,385.3840637207031,1603094700,2023-02-01,300.84,3.6,66.9,4.57
97,2023-03-01,384.5574370332948,398.4552368115598,370.20253585860036,398.15374755859375,2515995800,2023-03-01,301.836,3.5,62.0,4.65
98,2023-04-01,399.14612878513685,406.0678471393573,394.1964558826939,406.0580749511719,1395683000,2023-04-01,303.363,3.4,63.7,4.83
99,2023-05-01,405.60897874515166,412.55021129832534,394.15737510865574,407.9324951171875,1780705600,2023-05-01,304.127,3.6,59.0,5.06
100,2023-06-01,408.16684169632265,433.7547522581935,406.8977084562367,432.75897216796875,1749755000,2023-06-01,305.109,3.6,64.2,5.08
101,2023-07-01,434.0136996476311,450.201501807381,428.2715180115454,448.5846862792969,1374632400,2023-07-01,305.691,3.5,71.5,5.12
102,2023-08-01,447.09525467245885,448.0555594745813,424.3029900134085,441.2943115234375,1754764700,2023-08-01,307.026,3.7,69.4,5.33
103,2023-09-01,444.0576102297593,444.5475561629323,413.79854461236556,418.8841857910156,1588673200,2023-09-01,307.789,3.8,67.8,5.33
104,2023-10-01,419.51604289056456,430.8442344031178,402.395945551873,411.23626708984375,1999149700,2023-10-01,307.671,3.9,63.8,5.33
105,2023-11-01,412.2196030722226,450.6881822463809,411.678743522953,448.8001403808594,1499960600,2023-11-01,307.051,3.7,61.3,5.33
106,2023-12-01,448.1806593422399,469.59798485439785,446.7449791773677,467.3952941894531,1643108100,2023-12-01,306.746,3.8,69.7,5.33
107,2024-01-01,466.18014039373315,485.3936728366066,460.52269947254985,476.7643737792969,1700630800,2024-01-01,308.417,3.7,79.0,5.33
108,2024-02-01,478.4922709175871,503.6693189448732,477.6727658142748,501.645263671875,1393465400,2024-02-01,310.326,3.9,76.9,5.33
109,2024-03-01,502.5338257118445,517.9658478816705,498.5153646580374,516.4453735351562,1473246900,2024-03-01,312.332,3.9,79.4,5.33
110,2024-04-01,518.8027538883022,519.3474633785721,489.1203483508712,497.1624450683594,1592974000,2024-04-01,313.548,3.9,77.2,5.33
111,2024-05-01,496.5681569163453,527.9540238271759,494.75570288032617,522.3087158203125,1153264400,2024-05-01,314.069,4.0,69.1,5.33
112,2024-06-01,523.9429343373569,544.998908571588,517.5845045254524,538.9970092773438,888923200,2024-06-01,314.175,4.1,68.2,5.33
113,2024-07-01,542.1368612368188,561.5417979131603,534.0092371793027,547.28369140625,1038465500,2024-07-01,314.54,4.2,66.4,5.33
114,2024-08-01,549.0324303161082,560.5879794062929,507.0032185463337,560.0712890625,1244599000,2024-08-01,314.796,4.2,67.9,5.33
115,2024-09-01,554.7754130175939,571.0307222108186,535.9865017251741,570.0867919921875,1045061400,2024-09-01,315.301,4.1,70.1,5.13
116,2024-10-01,571.4766480740118,584.1539517215824,563.3739139591977,566.7326049804688,976068800,2024-10-01,315.664,4.1,70.5,4.83
117,2024-11-01,569.403585220999,601.3261129268905,565.9850980302235,600.52880859375,901843000,2024-11-01,315.493,4.2,71.8,4.64
