,Date,Open,High,Low,Close,Volume,Date.1,cpi,unemployment,consumer_confidence,interest_rate,log_returns,range,volatility,volume_ma
77,2021-07-01,407.6973779764686,419.98903785286194,401.13802560470464,416.8614807128906,1422104700,2021-07-01,273.003,5.4,81.2,0.1,0.027385615858402268,18.851012248157303,0.03945057579907454,1516205408.3333333
78,2021-08-01,418.60103470161056,430.70258308458057,414.57036677683686,429.2671203613281,1254001400,2021-08-01,273.567,5.1,70.3,0.09,0.029325397271757758,16.132216307743704,0.03726467470789629,1533575250.0
79,2021-09-01,430.2177831756997,431.6342148069626,407.6117675889478,407.9540100097656,1745559600,2021-09-01,274.31,4.7,72.8,0.08,-0.050924935855332976,24.022447218014747,0.038708286890902485,1527812491.6666667
80,2021-10-01,411.0157272421213,438.2718033155484,406.609715019409,437.9761657714844,1508665200,2021-10-01,276.589,4.5,71.7,0.08,0.07101004536257882,31.662088296139416,0.038520667701841815,1517783250.0
81,2021-11-01,438.9774811219327,451.6041835199971,434.2090964514624,434.4570617675781,1335351500,2021-11-01,277.948,4.2,67.4,0.08,-0.008067375195766502,17.39508706853468,0.03202239265894054,1501125516.6666667
82,2021-12-01,440.2554494471024,456.8112676405657,428.1246772508207,452.9584045410156,1927433900,2021-12-01,278.802,3.9,70.6,0.08,0.04170318140861973,28.686590389744993,0.03246008033606569,1549699883.3333333
83,2022-01-01,455.8322372936511,459.3541210822576,402.6789450570602,430.5762939453125,2485167800,2022-01-01,281.148,4.0,67.2,0.08,-0.05067576918793737,56.6751760251974,0.037950182989438315,1639941750.0
84,2022-02-01,431.3131372397022,438.43342402017726,392.9937780077821,417.8669128417969,2297975100,2022-02-01,283.716,3.8,62.8,0.08,-0.029961538376752195,45.439646012395144,0.04012321211656234,1722455825.0
85,2022-03-01,416.3452705367226,442.21372385901424,397.2812690270573,432.23193359375,2380929500,2022-03-01,287.504,3.7,59.4,0.2,0.03379933599552665,44.93245483195693,0.03970301868780033,1720723633.3333333
86,2022-04-01,435.1778206107415,439.5170122869629,394.7617940450386,395.5202026367188,1856757400,2022-04-01,289.109,3.7,65.2,0.33,-0.08876046033365892,44.7552182419243,0.0466486359616337,1753611200.0
87,2022-05-01,395.58746893583,412.4738766001029,365.3186500677824,396.4130554199219,2418478100,2022-05-01,292.296,3.6,58.4,0.77,0.002254869718941954,47.15522653232051,0.04661054718213594,1826214716.6666667
88,2022-06-01,398.5634856017305,400.7426765459344,347.6834507878275,362.1602478027344,1958611900,2022-06-01,296.311,3.6,50.0,1.21,-0.09036994951498922,53.05922575810689,0.05277648006018832,1882586341.6666667
89,2022-07-01,363.0593775968328,398.2218378421856,357.7372940281095,397.2191162109375,1437748400,2022-07-01,296.276,3.5,51.5,1.68,0.09240127106922458,40.48454381407612,0.059773974294385836,1883889983.3333333
90,2022-08-01,394.4810155414021,416.2514865310641,380.8769059635173,381.0118713378906,1443394400,2022-08-01,296.171,3.6,58.2,2.33,-0.04165752542375323,35.374580567546786,0.0596860634109327,1899672733.3333333
91,2022-09-01,378.8039694767509,396.9685069596045,344.23927169503423,344.3742370605469,1998908600,2022-09-01,296.808,3.5,58.6,2.56,-0.10110156853590002,52.729235264570264,0.06439071577387617,1920785150.0
92,2022-10-01,349.5643880461033,377.097379126101,337.0080273828825,373.8929443359375,2024732000,2022-10-01,298.012,3.6,59.9,3.08,0.08224054687495386,40.08935174321846,0.06580653456638694,1963790716.6666667
93,2022-11-01,377.6977189296863,394.6783142089844,357.0286045049605,394.6783142089844,1745985300,2022-11-01,297.711,3.6,56.7,3.78,0.054101527346696265,37.64970970402385,0.0686323845644567,1998010200.0
94,2022-12-01,395.7335458992516,397.3986930487825,362.8178697924018,370.2335815429688,1735973600,2022-12-01,296.797,3.5,59.8,4.1,-0.0639369307753972,34.58082325638071,0.06845206353946762,1982055175.0
95,2023-01-01,373.82040344632304,396.9574607224583,367.45989491583873,395.3235778808594,1575450100,2023-01-01,299.17,3.5,64.9,4.33,0.06557050614231752,29.497565806619548,0.07138566846020812,1906245366.6666667
96,2023-02-01,394.0884622488376,406.8289211951891,382.8360389025855,385.3841247558594,1603094700,2023-02-01,300.84,3.6,66.9,4.57,-0.025464050533151372,23.992882292603554,0.07126654061276808,1848338666.6666667
97,2023-03-01,384.5574075578429,398.4552062708732,370.2025074834189,398.1537170410156,2515995800,2023-03-01,301.836,3.5,62.0,4.65,0.032597590912424756,28.25269878745428,0.07120520752703882,1859594191.6666667
98,2023-04-01,399.1460987870309,406.0678166210448,394.19642625658406,406.05804443359375,1395683000,2023-04-01,303.363,3.4,63.7,4.83,0.0196579615277912,11.871390364460751,0.06659540628758759,1821171325.0
99,2023-05-01,405.60903943266175,412.5502730243877,394.1574340827686,407.93255615234375,1780705600,2023-05-01,304.127,3.6,59.0,5.06,0.004605741223656423,18.392838941619118,0.0665990683730141,1768023616.6666667
100,2023-06-01,408.16684169632265,433.7547522581935,406.8977084562367,432.7589721679688,1749755000,2023-06-01,305.109,3.6,64.2,5.08,0.059079069562242736,26.857043801956763,0.06145113016001999,1750618875.0
101,2023-07-01,434.0137291739332,450.2015324349524,428.2715471472023,448.584716796875,1374632400,2023-07-01,305.691,3.5,71.5,5.12,0.0359166260866548,21.929985287750128,0.05696999658875559,1745359208.3333333
102,2023-08-01,447.0952546724589,448.0555594745813,424.3029900134085,441.2943115234375,1754764700,2023-08-01,307.026,3.7,69.4,5.33,-0.01638552691925632,23.75256946117281,0.05532472709270374,1771306733.3333333
103,2023-09-01,444.0576102297593,444.5475561629323,413.7985446123656,418.8841857910156,1588673200,2023-09-01,307.789,3.8,67.8,5.33,-0.05211755043328559,30.749011550566706,0.04744824723495362,1737120450.0
104,2023-10-01,419.51604289056456,430.8442344031178,402.395945551873,411.23626708984375,1999149700,2023-10-01,307.671,3.9,63.8,5.33,-0.01842656706078838,28.448288851244797,0.043466227515742105,1734988591.6666667
105,2023-11-01,412.21963110239193,450.6882128923424,411.6787715163449,448.8001708984375,1499960600,2023-11-01,307.051,3.7,61.3,5.33,0.08740982657074436,39.00944137599748,0.04755380536326863,1714486533.3333333
106,2023-12-01,448.1806300792404,469.5979541929997,446.7449500081078,467.395263671875,1643108100,2023-12-01,306.746,3.8,69.7,5.33,0.0405975537045391,22.85300418489186,0.041871795983189464,1706747741.6666667
107,2024-01-01,466.18017023381697,485.3937039065442,460.5227289505022,476.764404296875,1700630800,2024-01-01,308.417,3.7,79.0,5.33,0.01984716884395965,24.870974956042005,0.03929124805458221,1717179466.6666667
108,2024-02-01,478.4922418085208,503.66928830416174,477.6727367550631,501.6452331542969,1393465400,2024-02-01,310.326,3.9,76.9,5.33,0.05087070544611194,25.996551549098626,0.038201033010637396,1699710358.3333333
109,2024-03-01,502.5338257118445,517.9658478816705,498.5153646580374,516.4453735351562,1473246900,2024-03-01,312.332,3.9,79.4,5.33,0.029076357214997017,19.450483223633057,0.038125435216819034,1612814616.6666667
110,2024-04-01,518.8027220423658,519.3474314991996,489.1203183269452,497.1624145507813,1592974000,2024-04-01,313.548,3.9,77.2,5.33,-0.03805275765470206,30.227113172254406,0.04186029934078676,1629255533.3333333
111,2024-05-01,496.5682149435505,527.954085522023,494.7557606957344,522.3087768554688,1153264400,2024-05-01,314.069,4.0,69.1,5.33,0.04934217698975374,33.19832482628857,0.042653494739485716,1576968766.6666667
112,2024-06-01,523.9429343373569,544.998908571588,517.5845045254524,538.9970092773438,888923200,2024-06-01,314.175,4.1,68.2,5.33,0.031451082700217015,27.414404046135587,0.04110499585162639,1505232783.3333333
113,2024-07-01,542.136921697981,561.5418605384348,534.0092967340413,547.2837524414062,1038465500,2024-07-01,314.54,4.2,66.4,5.33,0.015257388715594011,27.532563804393476,0.040730743744839044,1477218875.0
114,2024-08-01,549.0324303161082,560.5879794062929,507.0032185463337,560.0712890625,1244599000,2024-08-01,314.796,4.2,67.9,5.33,0.023096666565687762,53.584760859959204,0.039399306474232995,1434705066.6666667
115,2024-09-01,554.7754130175939,571.0307222108186,535.9865017251741,570.0867919921875,1045061400,2024-09-01,315.301,4.1,70.1,5.13,0.017724538365849085,35.04422048564447,0.03232264205190311,1389404083.3333333
116,2024-10-01,571.4766480740118,584.1539517215824,563.3739139591977,566.7326049804688,976068800,2024-10-01,315.664,4.1,70.5,4.83,-0.005901019553230746,20.780037762384723,0.030941456797992307,1304147341.6666667
117,2024-11-01,569.403585220999,601.3261129268905,565.9850980302235,600.52880859375,901843000,2024-11-01,315.493,4.2,71.8,4.64,0.057923018376667024,35.341014896666934,0.026542282183837283,1254304208.3333333
118,2024-12-01,600.9473727874777,607.0269474918017,578.9613731180809,584.1140747070312,1059516700,2024-12-01,315.605,4.1,74.0,4.48,-0.027714317558009682,28.06557437372078,0.029842378948724525,1205671591.6666667
